client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
1165994,10,3,69,unknown,2,226833.77,2,5
5650730,20,2,43,male,2,474954.32,5,8
7695537,12,11,54,unknown,2,174976.65999999997,1,4
3545210,56,11,84,female,2,47993.13,2,5
4149206,54,0,56,female,2,27023.89,1,4
3431014,26,6,43,male,2,163374.12,3,6
8972482,32,2,62,male,3,396305.98,6,9
151444,14,11,31,unknown,2,34814.84,5,8
3778929,26,0,60,female,2,300637.25,5,8
9341975,16,1,26,unknown,2,28038.0,6,9
9070908,12,11,54,unknown,2,55787.69,0,3
3070720,12,2,30,unknown,3,47151.82,2,5
1840230,12,10,29,unknown,2,163702.91999999998,6,9
4761400,30,10,56,female,2,71982.87,2,5
312094,8,8,22,unknown,2,58108.74,3,6
9435892,34,0,47,male,2,86797.79999999999,6,9
3270955,12,9,74,unknown,2,37672.53,3,6
6840204,14,11,58,unknown,2,31129.41,3,6
8971654,30,6,62,female,2,71995.54000000001,3,6
7288041,50,0,32,female,3,43742.87,6,9
3143881,48,1,51,female,2,53080.91,6,9
340192,48,7,74,female,2,321351.47,6,9
7845532,46,6,71,female,2,187639.61,4,7
4447192,44,6,59,male,2,40191.39,3,6
5119615,40,6,48,female,2,243282.69,1,4
976546,38,1,38,male,4,59503.19,5,8
4644384,34,2,57,unknown,2,35975.52,3,6
4028430,18,1,60,male,2,87207.53,6,9
2519481,56,7,60,male,2,143769.09,5,8
4412954,10,6,21,unknown,2,101928.87,6,9
9635691,8,11,46,unknown,2,31486.81,6,9
3362778,20,10,61,female,2,127314.89,6,9
5687972,28,8,34,male,2,24919.16,0,3
8676893,18,8,60,female,2,88968.26,1,5
4399072,54,5,58,female,3,117836.94,3,6
7705023,24,0,44,female,2,60526.87,0,3
4260236,24,11,60,female,2,58615.38,0,4
8368220,14,9,28,unknown,2,36539.12,1,4
6929446,56,11,83,male,2,326957.19,0,3
1524426,16,3,36,unknown,2,53131.28,2,5
1105924,26,5,52,female,3,96007.87,5,8
6770720,28,11,62,male,2,1907094.11,4,8
5572217,16,10,48,female,2,30552.39,2,5
3604010,10,10,52,unknown,2,32731.37,1,4
8506583,12,9,28,female,2,51726.56,6,9
4853148,18,1,62,female,2,190619.33,2,5
425532,10,7,42,unknown,4,112715.89,6,9
7307378,24,10,70,male,2,36397.41,0,3
929350,18,3,72,male,3,190530.62,5,8
1435050,30,9,52,female,2,1589727.12,1,4
929038,16,3,60,unknown,3,125733.21,6,9
5205837,18,11,56,male,2,114022.38,5,8
5754354,30,5,38,female,2,34866.45,0,3
4231609,12,3,45,unknown,2,39335.9,2,5
493194,12,3,58,unknown,2,66942.64,2,5
3706067,12,9,76,unknown,2,167990.39,3,6
5474772,16,10,66,female,2,168966.38,4,7
3937930,10,6,66,unknown,2,430081.07,3,6
4088467,26,10,36,female,2,103756.74,0,3
3767937,30,9,53,male,2,47734.69,3,6
278839,22,11,62,female,2,33051.97,1,4
9989642,12,6,63,unknown,2,202064.63,5,8
8789491,10,9,22,unknown,2,40487.92999999999,2,5
692622,8,11,25,unknown,2,31803.51,3,6
8253877,32,10,36,male,2,120874.88,6,9
1168373,54,2,61,male,3,57600.69,5,8
5981232,48,10,44,female,2,26837.74,3,6
461846,48,2,78,female,2,43246.11,4,7
9821262,46,9,66,male,3,1141653.0499999998,3,6
416346,46,3,60,female,2,216389.25,2,5
7185880,42,0,48,male,2,96721.08,6,9
3460496,40,10,62,female,2,31438.76,1,4
39968,8,9,50,female,2,58599.55,3,6
9262445,14,4,47,unknown,2,29672.82,1,4
171583,30,10,44,female,2,125100.63,6,9
8730282,54,10,50,female,3,464879.31,2,5
7412471,24,6,27,female,4,144559.55,6,9
86877,8,10,28,unknown,2,40308.74,1,4
7669500,6,10,58,unknown,3,64159.92,1,4
6488984,18,6,40,male,2,73552.72,0,3
327151,28,6,74,male,5,214762.73,1,4
1413769,26,6,56,female,3,48092.82,1,4
3246979,12,0,57,female,2,264334.41,6,9
7056174,16,11,60,female,2,433799.34,6,9
7205884,30,10,25,female,2,34281.18,0,3
6201791,54,0,66,male,2,51930.13,5,8
3527743,12,4,22,unknown,2,27047.89,2,5
7018468,18,5,28,male,4,106785.05,2,5
1949872,26,8,38,male,3,132243.59999999998,6,9
1056722,20,11,52,male,2,45437.91,0,3
1887639,30,10,67,unknown,2,174510.75,3,6
7153152,12,3,44,unknown,3,207071.7,6,9
1897278,10,5,42,male,2,63939.61,4,7
820519,10,3,60,male,2,384904.34,3,6
4653489,12,10,46,unknown,2,31650.51,1,4
3660141,8,11,23,unknown,2,37244.36,6,9
6815257,92,2,72,male,2,92157.08,1,4
9767681,12,10,47,unknown,2,50914.39,6,9
4474907,12,11,32,unknown,2,31930.31,0,3
6717435,12,11,45,unknown,3,99839.96,2,5
6958124,20,9,59,male,3,148741.47,2,6
5869570,22,8,47,male,2,25084.35,1,4
979208,10,9,20,unknown,2,29760.54,0,3
681824,18,10,34,female,2,34537.7,1,4
9006366,10,10,26,male,2,46898.97,6,9
8274863,12,1,27,unknown,2,31559.84,6,9
4055202,20,11,30,male,2,118923.62,6,9
9358802,28,7,33,female,2,109642.16,6,9
5749370,8,11,22,unknown,2,50677.64,6,9
8333682,16,11,34,female,2,36660.31,0,3
203223,48,4,60,male,3,1113383.46,6,9
9153853,44,9,42,male,2,97065.25,6,9
9546409,42,5,27,male,3,117906.94,6,9
3544760,42,2,55,male,2,122671.45,0,3
9308901,40,6,42,female,2,41536.96,2,5
72395,36,9,48,male,2,208866.05,4,7
2346575,30,10,75,male,2,61693.2,4,7
7995744,30,2,39,male,2,57533.84,3,6
5078188,22,10,31,female,2,49445.67999999999,5,8
6250726,10,5,72,unknown,2,40124.17,0,3
7434562,20,8,74,female,2,25963.06,2,6
4877364,24,11,76,male,4,2141137.39,0,3
3736142,14,2,44,unknown,2,45584.19,0,3
9863604,10,5,40,unknown,2,36436.59,3,6
8284433,20,11,63,male,2,53551.9,6,9
7183351,16,0,28,unknown,2,78197.01999999999,2,5
3959099,22,3,32,male,2,48712.08,5,8
4362459,42,6,66,female,2,35035.3,6,9
3083365,14,2,72,unknown,2,1260146.5699999998,5,8
556698,8,8,57,unknown,2,164270.90000000002,2,5
4333518,20,6,32,male,2,39164.23,6,9
6540065,14,7,63,unknown,2,52180.97,3,6
1646150,10,7,66,male,2,361345.09,6,9
6550550,10,7,58,female,2,32744.96,3,6
4319069,28,7,24,male,3,55169.44,2,5
5931603,10,6,32,unknown,2,66328.35,2,5
2938423,12,0,36,unknown,2,25590.73,6,9
2215051,24,10,66,female,3,122246.45,6,9
2952627,10,10,46,male,2,34979.78,2,5
2790667,8,10,22,unknown,2,44144.34,1,4
9027736,20,10,79,female,2,217728.64,4,7
7240133,14,8,66,male,3,62814.58,3,6
6196555,8,8,70,unknown,3,310089.38,6,9
6012640,58,11,60,female,2,89726.89,2,5
5966661,10,11,30,unknown,2,39556.42,1,4
1820934,10,10,40,unknown,2,40535.55,0,3
7190256,16,10,31,female,2,53434.92999999999,6,9
9048757,30,10,60,female,2,591058.3500000001,0,3
5937897,34,6,64,male,2,482055.17,0,3
560810,28,8,34,female,3,57175.22,2,5
704762,12,10,28,unknown,3,83788.5,6,9
1350724,8,10,42,unknown,2,38033.55,0,3
9234234,16,7,26,male,2,65872.88,6,9
6765972,14,1,56,unknown,2,24701.85,5,8
8037116,8,10,23,unknown,2,30552.19,0,3
2754680,14,5,41,unknown,2,247752.24,2,5
8984143,28,0,40,male,2,26248.41,2,5
9797884,10,5,62,unknown,3,77371.48999999999,6,9
7680980,26,3,24,male,3,117685.13,6,9
4928575,50,5,60,female,2,30975.55,0,3
2406021,46,10,49,male,2,483324.86,4,7
1908158,42,11,66,female,2,161959.26,2,5
881563,42,10,50,male,2,477340.15,5,8
2653016,42,6,53,female,2,273573.13,1,4
548340,42,3,46,unknown,2,38001.58,2,5
2609914,34,10,46,female,3,79648.2,0,3
3055755,34,8,44,female,2,59154.02,6,9
8798149,32,6,50,female,3,218582.15,0,3
4278502,20,11,24,female,2,86769.69,2,5
5004793,50,10,60,female,3,90540.4,1,6
1040359,10,3,48,unknown,3,50844.64,2,5
1334827,22,9,38,female,2,76572.53,0,3
8945610,52,7,72,female,2,170208.0,3,6
9371037,64,11,68,male,3,181523.87,2,6
2509909,18,0,56,male,3,120915.34,6,9
2600705,30,1,62,female,2,1278380.8099999998,6,9
3442959,28,5,34,female,2,35656.28,6,9
9207047,32,10,50,female,2,29978.94,0,3
3991847,10,5,33,unknown,2,28189.91,2,5
2959476,18,11,59,female,2,47887.98,6,9
973686,20,10,28,male,3,44990.49,1,4
7988248,30,9,51,male,2,42138.14,6,9
3158341,54,0,71,male,3,1581691.79,6,9
9373092,10,8,40,female,2,59201.04,5,8
7561241,10,11,56,unknown,3,1475524.6,3,6
3590454,40,2,68,female,2,156109.43,6,9
4374343,8,7,53,female,2,180359.6,2,5
1025015,32,11,46,male,2,163637.52000000002,5,8
6524861,10,3,66,female,2,162005.72999999998,0,3
3668675,12,9,48,female,2,48875.46,2,5
8257047,48,9,24,male,2,34710.92,2,5
1753961,8,9,50,unknown,2,48917.99,2,5
9432051,14,8,39,unknown,2,99532.56,3,6
9591707,22,8,49,male,2,34721.08,3,6
5522802,8,9,40,unknown,3,66114.18,4,7
5319506,10,0,33,unknown,2,44387.03999999999,3,6
6399171,38,11,58,male,2,119445.0,5,8
7569257,8,11,54,female,2,33294.92,2,5
547839,22,9,44,female,2,75677.53,6,9
5781524,10,11,42,unknown,3,55532.59,2,5
6286537,14,7,27,unknown,2,31480.81,1,4
2529465,18,8,36,male,2,60796.07,6,9
4937056,28,4,19,male,4,65365.75,0,3
3132961,18,11,58,female,2,23790.4,6,9
6248651,34,9,46,male,2,24110.09,6,9
7187827,30,3,46,female,2,156436.78999999998,3,6
9516559,18,7,30,male,2,32127.71,5,8
2166490,18,9,64,female,2,249320.51,4,7
9876315,22,8,56,female,2,121203.96,3,6
9795687,28,0,70,male,2,65376.95,3,6
3573589,22,4,46,male,2,57971.45,3,6
6082639,48,11,52,male,5,208786.33,2,5
8163796,46,11,62,female,2,126817.43,3,6
3191374,46,10,38,female,2,57619.25,6,9
3334174,44,5,32,male,4,238363.85,4,7
2057447,40,10,40,female,2,55884.24,0,3
3778920,42,1,62,female,2,33825.009999999995,4,7
4834461,46,11,56,male,2,522457.42,3,6
2365886,42,1,76,male,3,234993.23,4,7
4848480,36,7,28,male,2,34901.03,6,9
7656967,36,6,60,female,3,458857.19,6,9
6559072,32,11,54,female,2,54249.96,3,6
2960870,22,4,66,female,2,190176.39,2,5
399690,32,3,80,male,2,34994.41,4,7
3319565,20,7,48,male,2,23985.65,6,9
470365,40,2,44,male,2,35829.85,1,4
5769715,40,5,75,male,2,75862.58,6,9
8336549,24,10,32,female,2,115872.65,2,5
7313442,28,5,23,male,3,72468.70999999999,6,9
327337,30,7,73,male,2,699374.2300000001,6,9
4296369,8,9,24,unknown,2,29708.73,1,4
1830058,30,6,70,female,2,1823190.18,5,8
3337300,22,8,57,female,2,23809.67,2,5
272484,28,1,48,male,3,302145.66,6,9
6666419,18,2,44,male,2,29272.36,5,8
8830618,10,10,28,unknown,2,42213.17999999999,5,8
8306917,22,11,60,female,4,358021.67,6,9
8068242,30,9,47,unknown,2,123841.85,4,7
2697914,30,6,36,unknown,2,77452.7,3,6
8730685,38,0,72,male,2,236328.14,0,3
5894819,16,6,68,unknown,2,88612.23,6,9
3539231,12,0,26,unknown,2,60709.59,1,4
9484909,14,10,20,unknown,2,51542.32,0,3
695585,30,4,46,male,2,121101.26,2,5
2485287,34,0,60,male,2,190218.43,4,7
736752,24,11,34,male,2,74871.78,1,4
1597883,10,10,25,unknown,2,48374.16,5,8
675111,14,9,29,unknown,2,53545.22,3,6
5116128,20,1,49,female,3,970272.0,3,6
3194104,14,5,28,unknown,2,34921.18,6,9
7151522,18,3,68,female,3,216668.43,6,9
3319635,14,4,52,unknown,2,100239.82,6,9
3197890,10,8,50,unknown,2,33357.63,6,9
28857,28,10,52,male,2,104511.86,3,6
6334676,6,11,36,unknown,3,175190.2,5,8
7781717,20,10,26,female,2,77832.85,1,4
1465714,22,11,64,female,2,867380.8300000001,0,3
6020962,26,11,28,male,2,98550.05,3,6
2472976,8,6,68,female,2,661718.3400000001,5,8
7020609,56,11,60,female,3,333574.56,1,4
2956739,8,11,53,unknown,2,28462.57,2,5
5517122,28,6,58,male,2,132760.77000000002,6,9
1241733,16,9,32,female,3,36977.48,0,3
4458772,24,0,62,unknown,2,34751.19,1,4
242235,46,11,44,male,2,205171.12,5,8
8544599,46,1,56,female,2,36103.57,1,4
793692,46,0,59,male,2,62786.71,4,7
595241,44,10,49,female,2,27579.24,2,5
9590571,42,1,72,male,2,265461.39,0,4
6206582,42,0,43,female,2,129093.94,2,5
5954855,40,10,36,male,4,264983.04,2,5
5076263,40,9,39,male,2,116576.29,3,6
9957845,48,9,61,female,2,110140.17,4,7
509544,38,0,52,female,2,27084.14,1,4
8969191,36,6,50,male,2,132946.55,2,5
1288843,36,5,62,unknown,2,163709.74,1,4
4319222,10,6,32,female,3,33047.84,0,3
9092174,18,8,28,male,2,67734.59,4,7
3086399,32,2,48,male,2,166456.55,6,9
730801,24,3,52,male,2,47511.33,3,6
5552968,12,9,46,unknown,2,24268.41,4,7
4366496,22,8,26,male,3,315341.78,6,9
6615925,22,8,32,male,2,38937.73,2,5
9493249,42,5,73,female,2,89903.73,2,5
3290004,24,9,30,female,2,81594.69,1,4
4866771,12,6,87,unknown,2,41797.76,6,9
9517536,10,0,28,unknown,2,56202.07,6,9
5293569,14,0,46,unknown,2,29224.47,1,4
9754728,14,2,40,unknown,2,128306.51,4,7
3777909,8,9,54,unknown,3,48953.17999999999,0,3
2515665,20,1,63,female,2,46489.4,2,5
198935,8,8,66,unknown,2,61573.14,3,6
2449759,18,8,62,female,2,117408.12,1,4
6641855,16,1,33,unknown,2,81186.79000000001,4,7
3874169,22,0,38,female,2,63217.28,3,6
392459,52,0,57,unknown,3,172748.2,6,9
3806151,18,1,43,male,2,157278.14,1,4
7414306,12,7,66,unknown,2,65259.08,1,4
9295772,10,4,52,male,2,26280.29,4,7
3887490,10,11,40,unknown,2,59466.35,2,5
9138140,12,1,32,unknown,2,45754.98,1,4
1346,28,9,46,female,2,822512.91,3,6
1814940,14,10,48,unknown,2,69194.14,2,5
9075393,24,2,48,male,4,484570.93,6,9
16095,12,4,30,unknown,2,81652.98,1,4
533553,48,1,68,unknown,2,147539.34,2,5
7452449,46,11,68,female,3,131965.16,4,7
5142178,46,1,58,male,2,69415.56,5,8
9081837,40,11,21,female,2,54398.53999999999,5,8
3022895,56,10,76,male,2,104042.72,2,5
6768127,14,10,32,unknown,2,32021.98,4,7
7244004,30,10,52,female,2,755138.4700000001,1,4
4405688,18,10,53,male,2,47707.67,0,3
2658149,42,10,58,male,3,432275.28,3,6
6373368,32,2,56,male,2,42066.73,1,4
1007748,58,0,66,male,4,1423149.03,6,9
5092651,18,6,32,male,3,80859.04000000001,6,9
9449889,28,8,26,female,2,28841.06,6,9
8088920,14,11,62,female,2,112148.91,2,5
4153564,14,7,30,unknown,2,30792.02,6,9
1805954,40,11,65,male,2,116484.7,1,4
1990964,30,4,50,female,2,27152.18,2,5
811242,54,8,68,female,2,79386.39,5,8
6380474,28,2,46,male,2,159277.65000000002,1,4
5690823,18,11,46,female,2,95056.95,2,5
9105369,44,3,27,female,2,31407.18,2,5
4494336,10,11,66,female,3,403398.69,1,4
7198363,30,11,54,female,2,47997.07,1,4
5644663,18,0,70,female,2,117064.95,0,3
1695407,16,3,55,unknown,2,61656.99,0,3
2948165,14,5,62,unknown,2,291652.19,2,5
9714140,12,6,66,unknown,3,476097.95,0,3
2826516,24,0,40,male,3,63922.21,2,5
6877738,6,2,20,unknown,2,29156.86,3,6
9040967,8,8,24,male,2,28705.23,3,6
3367073,24,9,32,female,2,36534.7,2,5
943015,10,11,56,unknown,2,45776.16,5,8
1020634,8,10,40,unknown,2,26795.08,4,7
7718817,8,11,29,unknown,2,30028.77,6,9
1829130,14,0,53,female,2,24154.48,2,5
9336495,10,5,29,unknown,2,56490.0,6,9
8722759,36,6,46,male,2,46500.72,2,5
4952288,10,6,42,unknown,2,49821.15,2,5
7953367,10,0,66,unknown,2,160537.77999999997,6,9
5870441,50,10,26,female,2,97090.46,6,9
3233554,32,11,66,male,2,314901.35,2,5
4787368,26,0,31,male,2,97061.72,0,3
6930182,12,7,60,unknown,3,631622.26,6,9
4738519,26,4,48,male,2,440046.52,1,4
6604463,12,11,58,unknown,2,30971.3,1,4
6050973,18,8,32,female,2,54681.51,1,4
5579672,34,1,54,female,2,26031.52,2,5
1290934,26,3,56,male,2,27826.43,2,6
7024366,8,10,58,unknown,2,35832.59,1,4
663941,48,7,47,female,2,168467.46999999997,6,9
1196376,46,11,46,unknown,2,270343.52,2,6
9229226,44,1,72,unknown,2,352199.83,0,4
2985233,44,0,72,male,2,307725.49,6,9
2186143,40,11,56,female,2,519393.29,4,7
6567268,38,6,36,male,2,68955.82,0,3
8732389,38,5,54,female,2,100531.17,6,9
7038187,34,10,34,male,2,123618.14,5,8
8047484,34,4,69,female,2,47198.83,6,9
5101399,14,1,41,male,3,247864.61,4,7
8381127,16,5,50,male,3,135540.13,3,6
7396309,26,0,31,female,3,49312.45,4,7
1792552,26,6,50,male,2,51534.08,6,9
848570,20,11,34,female,3,137937.4,4,7
3452850,24,2,42,male,2,35081.79,0,3
4786414,12,0,44,unknown,2,75595.38,6,9
9598074,8,5,52,unknown,2,155403.84999999998,6,9
2968201,20,9,36,male,2,85169.31,6,9
8169732,8,11,18,unknown,2,37222.41,1,4
5156720,22,11,34,female,2,59922.95,1,4
4333852,54,5,56,male,3,1854093.26,2,5
83683,10,8,31,unknown,2,62792.96,6,9
7236024,66,3,65,female,2,75865.33,0,3
3953921,10,7,42,unknown,2,170372.15999999997,6,9
3899785,10,10,20,unknown,2,30797.96,0,3
8060496,16,0,48,unknown,3,269663.73,1,4
8682039,20,1,34,female,3,97404.34,6,9
5798572,32,5,53,female,2,45618.71,5,8
4656898,10,6,30,unknown,2,183651.1,6,9
2865677,24,1,38,female,2,35881.649999999994,1,4
8832236,8,9,47,unknown,2,88742.26999999999,4,7
2691632,16,10,59,male,2,63662.29,3,6
6842137,12,10,48,unknown,2,67474.85,6,9
3041776,10,5,60,unknown,2,418391.2,2,5
3167061,14,11,64,unknown,2,73866.65,6,9
6514104,10,5,30,unknown,3,32871.29,2,5
2839247,26,1,40,male,2,89199.12,1,4
1903850,8,10,60,male,2,89803.44,2,5
3992853,22,3,26,male,2,28687.18,6,9
187901,22,7,66,male,2,166577.95,3,6
6331923,10,1,30,female,2,49355.78999999999,1,4
2941394,30,9,67,female,2,84883.79999999999,1,5
2663775,24,10,35,female,2,125507.31,1,4
5337525,16,10,70,female,2,36330.36,2,5
967593,20,4,48,female,2,177660.76,4,7
1667795,14,2,46,unknown,2,42911.97,5,8
6991948,26,5,47,female,2,475881.98,0,3
1391630,14,10,43,male,3,64239.83,4,7
5085938,8,9,34,unknown,2,58761.43,6,9
9844262,10,8,42,unknown,2,48165.26,1,4
2013867,26,9,50,female,2,248229.05,6,9
8538985,12,0,64,unknown,3,120754.36,6,9
8444793,10,5,28,unknown,4,60750.63,6,9
2833480,48,4,65,male,5,1932983.22,3,6
5829248,46,6,46,female,2,150492.49,3,6
7891259,42,9,45,male,3,140554.9,6,9
6603420,44,0,55,male,4,234991.91,2,5
8847388,38,8,48,unknown,3,418289.21,1,4
945109,36,6,31,female,3,66514.32,2,5
930596,36,3,54,male,2,125320.25,2,5
7158443,34,11,47,male,3,51518.19,5,8
7521207,28,7,70,female,2,198599.66,2,6
